YEAR,,,,,,,,,,,,,ANNUAL RAINFALL,FLOODS
1901,,,,,,,,,,,,,3248.6,YES
1902,,,,,,,,,,,,,3326.6,YES
1903,,,,,,,,,,,,,3271.2,YES
1904,,,,,,,,,,,,,3129.7,YES
1905,,,,,,,,,,,,,2741.6,NO
1906,,,,,,,,,,,,,2708,NO
1907,,,,,,,,,,,,,3671.1,YES
1908,,,,,,,,,,,,,2648.3,NO
1909,,,,,,,,,,,,,3050.2,YES
1910,,,,,,,,,,,,,2848.6,NO
1911,,,,,,,,,,,,,2726.7,NO
1912,,,,,,,,,,,,,3451.3,YES
1913,,,,,,,,,,,,,2610.8,NO
1914,,,,,,,,,,,,,2899.1,NO
1915,,,,,,,,,,,,,3024.5,YES
1916,,,,,,,,,,,,,2945.3,YES
1917,,,,,,,,,,,,,2704.8,NO
1918,,,,,,,,,,,,,2501.9,NO
1919,,,,,,,,,,,,,3003.3,YES
1920,,,,,,,,,,,,,3303.1,YES
1921,,,,,,,,,,,,,2719.9,NO
1922,,,,,,,,,,,,,3267.6,YES
1923,,,,,,,,,,,,,3484.7,YES
1924,,,,,,,,,,,,,4226.4,YES
1925,,,,,,,,,,,,,3062.1,YES
1926,,,,,,,,,,,,,2965.4,YES
1927,,,,,,,,,,,,,2994.7,YES
1928,,,,,,,,,,,,,2502.8,NO
1929,,,,,,,,,,,,,3361.6,YES
1930,,,,,,,,,,,,,3018,YES
1931,,,,,,,,,,,,,3259.6,YES
1932,,,,,,,,,,,,,3403,YES
1933,,,,,,,,,,,,,4072.9,YES
1934,,,,,,,,,,,,,2410.7,NO
1935,,,,,,,,,,,,,2498.2,NO
1936,,,,,,,,,,,,,3043.3,YES
1937,,,,,,,,,,,,,2818.2,NO
1938,,,,,,,,,,,,,2634.1,NO
1939,,,,,,,,,,,,,2937.5,YES
1940,,,,,,,,,,,,,3117.8,YES
1941,,,,,,,,,,,,,3111.1,YES
1942,,,,,,,,,,,,,3050.9,YES
1943,,,,,,,,,,,,,3464.2,YES
1944,,,,,,,,,,,,,2490,NO
1945,,,,,,,,,,,,,2432.4,NO
1946,,,,,,,,,,,,,3565.5,YES
1947,,,,,,,,,,,,,2998.1,YES
1948,,,,,,,,,,,,,3039.2,YES
1949,,,,,,,,,,,,,2942.6,YES
1950,,,,,,,,,,,,,3146.6,YES
1951,,,,,,,,,,,,,2705.5,NO
1952,,,,,,,,,,,,,2334.8,NO
1953,,,,,,,,,,,,,2544.9,NO
1954,,,,,,,,,,,,,2938,YES
1955,,,,,,,,,,,,,3134.7,YES
1956,,,,,,,,,,,,,2798.4,NO
1957,,,,,,,,,,,,,3103.3,YES
1958,,,,,,,,,,,,,2923.1,YES
1959,,,,,,,,,,,,,3746,YES
1960,,,,,,,,,,,,,3385.5,YES
1961,,,,,,,,,,,,,4257.8,YES
1962,,,,,,,,,,,,,3375.8,YES
1963,,,,,,,,,,,,,2651.1,NO
1964,,,,,,,,,,,,,2869.1,NO
1965,,,,,,,,,,,,,2342.4,NO
1966,,,,,,,,,,,,,2621.7,NO
1967,,,,,,,,,,,,,2569.1,NO
1968,,,,,,,,,,,,,3392.7,YES
1969,,,,,,,,,,,,,2665,NO
1970,,,,,,,,,,,,,2703.5,NO
1971,,,,,,,,,,,,,3076.8,YES
1972,,,,,,,,,,,,,2739.4,NO
1973,,,,,,,,,,,,,2412.5,NO
1974,,,,,,,,,,,,,2767.4,NO
1975,,,,,,,,,,,,,3498.4,YES
1976,,,,,,,,,,,,,2068.8,NO
1977,,,,,,,,,,,,,3047.6,YES
1978,,,,,,,,,,,,,3176.7,YES
1979,,,,,,,,,,,,,2503,NO
1980,,,,,,,,,,,,,2803.4,NO
1981,,,,,,,,,,,,,3005.9,YES
1982,,,,,,,,,,,,,2223.3,NO
1983,,,,,,,,,,,,,2320.3,NO
1984,,,,,,,,,,,,,2762.1,NO
1985,,,,,,,,,,,,,2390.5,NO
1986,,,,,,,,,,,,,2093.2,NO
1987,,,,,,,,,,,,,2137.6,NO
1988,,,,,,,,,,,,,2403.5,NO
1989,,,,,,,,,,,,,2422.7,NO
1990,,,,,,,,,,,,,2693.1,NO
1991,,,,,,,,,,,,,3184.5,YES
1992,,,,,,,,,,,,,3239.5,YES
1993,,,,,,,,,,,,,2717.7,NO
1994,,,,,,,,,,,,,3410.8,YES
1995,,,,,,,,,,,,,2858.8,NO
1996,,,,,,,,,,,,,2610,NO
1997,,,,,,,,,,,,,3252.4,YES
1998,,,,,,,,,,,,,3151.5,YES
1999,,,,,,,,,,,,,2914.6,NO
2000,,,,,,,,,,,,,2412.6,NO
2001,,,,,,,,,,,,,2931.1,NO
2002,,,,,,,,,,,,,2507.4,NO
2003,,,,,,,,,,,,,2394.9,NO
2004,,,,,,,,,,,,,2886.1,NO
2005,,,,,,,,,,,,,3031.1,YES
2006,,,,,,,,,,,,,3420.6,YES
2007,,,,,,,,,,,,,3489.6,YES
2008,,,,,,,,,,,,,2524.5,NO
2009,,,,,,,,,,,,,2810.6,NO
2010,,,,,,,,,,,,,3131.8,YES
2011,,,,,,,,,,,,,3035.1,YES
2012,,,,,,,,,,,,,2151.1,NO
2013,,,,,,,,,,,,,3255.4,YES
2014,,,,,,,,,,,,,3046.4,YES
2015,,,,,,,,,,,,,2600.6,NO
2016,,,,,,,,,,,,,2176.6,NO
2017,,,,,,,,,,,,,2117.1,NO
2018,,,,,,,,,,,,,4473,YES
